1000steps,10000steps,5000steps
291,426,527
464,331,315
487,316,416
500,275,298
573,321,395
444,720,394
560,487,323
547,549,285
326,585,379
467,266,415
427,647,467
451,268,272
299,492,858
463,325,614
632,444,433
442,510,443
695,784,525
470,493,427
270,480,387
466,337,1059
562,426,581
356,631,610
296,241,252
698,559,552
310,315,544
579,509,347
258,345,304
587,528,383
254,946,417
343,488,459
485,611,284
305,584,602
346,391,322
312,585,554
314,690,681
605,242,464
710,319,277
426,393,347
591,509,461
316,218,283
285,365,319
280,348,660
598,669,604
565,464,494
266,419,858
501,257,318
343,486,468
245,425,460
454,315,259
254,482,581
359,336,549
482,628,382
406,606,590
256,338,314
465,318,513
267,866,604
210,264,258
365,300,509
324,216,294
284,582,625
751,324,539
952,297,454
656,490,286
283,288,540
421,566,756
391,418,359
213,373,240
581,276,319
265,444,253
320,232,465
376,572,291
594,446,313
339,264,215
466,301,567
514,348,239
590,465,318
517,574,324
319,389,620
345,645,299
643,761,375
282,725,805
376,346,379
270,362,395
367,676,297
407,364,285
498,491,604
411,657,315
495,585,326
490,452,847
575,394,558
454,425,283
431,345,443
353,444,502
596,425,938
341,597,745
425,380,237
300,766,321
580,558,303
286,339,653
300,271,418
